sigma1    sigma2    sigma3
100.1     0          0
114.9     0          0
111.2     0          0
104.6     0          0
110.2     0          0
182.5     10         10
183.2     10         10
240.3     20         20
230.2     20         20
283       30         30
287.8     30         30
326.2     40         40
323.9     40         40
363.9     50         50
349.5     50         50
383.7     60         60
401.5     60         60
414.7     70         70
423.9     70         70
441.5     80         80
445.5     80         80
123.3     24.9       0
135.1     49.85      0
139.33    74.69      0
94.83     94.83      0
226.4     20         20
259.2     29.96      20
263       49.9       20
260.9     74.78      20
285.8     99.77      20
272.3     149.61     20
223.5     223.5      20
405.7     99.94      60
433.5     140.04     60
474.6     159.72     60
471.9     179.64     60
471.3     219.54     60
449.9     261.9      60
467.6     298.26     60
484.6     339.36     60
463.1     381.58     60





















































